steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Ecologia,Economia,Politica
11,2,0,0,0,0,2,0,2,0,0
25,0,1,0,0,1,0,0,0,0,0
42,0,1,0,0,1,2,0,0,0,0
104,1,0,0,0,0,0,1,0,1,1
149,0,0,0,0,0,2,0,0,0,0
181,0,0,1,1,0,1,0,0,0,0
215,1,0,0,0,0,0,1,0,1,1
224,1,0,0,0,0,0,1,0,1,1
225,1,0,0,0,0,0,1,0,1,1
232,0,0,0,0,0,1,0,0,0,0
236,0,0,1,1,0,1,0,0,0,0
244,0,0,0,0,0,1,0,0,0,0
249,0,0,0,0,0,1,0,0,0,0
