gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,0,1,0,0,2,1,1,4,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,3,0,0,0,0,0
10,0,0,0,0,0,0,0,2,0,0,0,0,0
19,0,1,0,0,1,1,0,12,0,1,0,0,0
20,0,1,0,0,0,1,1,1,0,0,0,0,0
26,2,0,0,0,1,3,3,10,1,1,0,1,1
28,0,0,0,0,0,0,0,2,0,0,0,0,0
35,1,0,1,0,0,0,0,1,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,1,0,0,1,0,10,0,0,0,0,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0
86,1,0,0,0,0,0,1,3,0,0,0,0,0
87,0,0,0,0,0,1,0,1,0,0,0,0,0
88,0,0,0,0,0,0,0,1,0,0,0,0,0
89,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0,0,0,0,0,0,3,0,0,0,0,0,0
93,1,1,1,0,0,3,3,5,0,1,0,0,0
94,0,0,0,0,0,0,0,2,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0
99,8,1,0,0,0,0,0,6,0,0,2,0,0
100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,0,0,0,0,0,0,0,0,0,0,0
103,0,1,0,0,0,2,0,0,0,0,0,0,0
106,0,1,0,1,0,0,1,3,0,0,0,0,0
107,0,0,0,0,0,0,0,1,0,0,0,0,0
109,0,1,0,0,0,0,0,0,0,0,0,0,0
111,1,1,0,0,0,0,4,0,0,0,0,0,0
112,0,0,0,0,0,0,0,1,0,0,0,0,0
119,1,0,0,0,0,0,0,1,1,0,0,1,1
123,0,0,0,0,0,0,0,3,0,0,0,0,0
125,0,0,0,0,0,0,0,2,0,0,0,0,0
136,0,0,0,0,0,0,0,1,0,0,0,0,0
146,0,1,0,0,1,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,1,0,0,0,0,0
160,0,0,1,0,0,0,0,1,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,1,0,0,0,0,0
181,0,0,0,0,0,0,0,1,0,0,0,0,0
184,0,0,0,0,0,0,0,1,0,0,0,0,0
193,0,0,0,0,0,0,0,1,0,0,0,0,0
194,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0,0,0,0,0,0,0,1,0,0,0,0,0
197,0,1,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,1,0,3,0,0,0,0,0
206,0,0,0,0,0,1,0,0,0,0,0,0,0
207,0,0,0,0,0,1,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,1,0,0,0,0,0
218,0,0,0,0,0,0,0,1,0,0,0,0,0
226,0,0,0,0,0,0,0,1,0,0,0,0,0
229,0,0,0,0,0,0,1,0,0,0,0,0,0
231,0,0,0,0,0,0,0,1,0,0,0,0,0
238,1,1,0,0,0,0,0,2,0,0,0,0,0
244,0,0,0,0,0,1,0,6,0,0,0,0,0
253,0,0,0,0,0,0,0,1,0,0,0,0,0
255,0,0,0,0,0,0,0,1,0,0,0,0,0
256,0,0,0,0,0,0,0,1,0,0,0,0,0
257,0,0,0,0,0,0,0,1,0,0,0,0,0
261,0,1,0,0,0,0,0,1,0,0,0,0,0
266,1,0,0,0,0,0,0,0,0,0,0,0,0
267,1,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,1,0,0,0,0,0,0
291,0,0,0,0,0,0,0,1,0,0,0,0,0
296,0,0,0,0,0,0,0,1,0,0,0,0,0
300,0,0,0,0,0,0,0,1,0,0,0,0,0
302,0,0,0,0,0,0,0,1,0,0,0,0,0
305,0,0,0,0,0,1,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,1,0,0,0,0,0
320,0,0,0,0,0,0,0,1,0,0,0,0,0
